,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
3,Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),Taylor Swift,10/21/22,256124,87,0.659,0.735,0.323,0.00321,0.116,-13.425,0.0436,0.154,110.007
4,"You're On Your Own, Kid",Midnights (3am Edition),Taylor Swift,10/21/22,194206,88,0.694,0.416,0.38,8.47E-06,0.126,-10.307,0.0614,0.376,120.044
5,Midnight Rain,Midnights (3am Edition),Taylor Swift,10/21/22,174782,88,0.636,0.71,0.377,6.51E-05,0.115,-11.721,0.0708,0.23,139.966
6,Question...?,Midnights (3am Edition),Taylor Swift,10/21/22,210556,87,0.751,0.226,0.502,0,0.297,-8.777,0.162,0.112,108.989
7,Vigilante Shit,Midnights (3am Edition),Taylor Swift,10/21/22,164801,86,0.87,0.16,0.279,1.74E-05,0.121,-11.134,0.364,0.16,79.996
8,Bejeweled,Midnights (3am Edition),Taylor Swift,10/21/22,194165,87,0.7,0.0661,0.55,0.000102,0.091,-9.13,0.0653,0.412,164.003
9,Labyrinth,Midnights (3am Edition),Taylor Swift,10/21/22,247962,85,0.487,0.791,0.313,0.348,0.124,-15.434,0.0487,0.141,110.039
10,Karma,Midnights (3am Edition),Taylor Swift,10/21/22,204852,87,0.649,0.074,0.622,0,0.594,-7.054,0.0582,0.106,90.024
11,Sweet Nothing,Midnights (3am Edition),Taylor Swift,10/21/22,188496,85,0.334,0.967,0.161,4.71E-05,0.115,-14.875,0.0506,0.396,176.747
12,Mastermind,Midnights (3am Edition),Taylor Swift,10/21/22,191039,86,0.661,0.571,0.352,0.00147,0.0884,-14.077,0.117,0.13,125.934
13,The Great War,Midnights (3am Edition),Taylor Swift,10/21/22,240355,87,0.573,0.219,0.741,2.23E-05,0.0842,-8.987,0.0353,0.554,96.016
14,Bigger Than The Whole Sky,Midnights (3am Edition),Taylor Swift,10/21/22,218502,87,0.422,0.826,0.235,0.00648,0.115,-12.379,0.0568,0.068,165.71
15,Paris,Midnights (3am Edition),Taylor Swift,10/21/22,196258,86,0.7,0.112,0.509,3.27E-05,0.137,-10.547,0.0789,0.345,110.947
16,High Infidelity,Midnights (3am Edition),Taylor Swift,10/21/22,231475,85,0.646,0.723,0.529,0,0.0885,-10.179,0.0864,0.755,87.862
17,Glitch,Midnights (3am Edition),Taylor Swift,10/21/22,148781,85,0.675,0.361,0.466,0,0.11,-9.738,0.201,0.347,140.864
18,"Would've, Could've, Should've",Midnights (3am Edition),Taylor Swift,10/21/22,260361,88,0.483,0.43,0.84,0.000575,0.146,-6.508,0.119,0.55,157.979
19,Dear Reader,Midnights (3am Edition),Taylor Swift,10/21/22,225194,84,0.562,0.481,0.388,0.00145,0.117,-12.088,0.0705,0.159,107.747
